[ 2022-09-25 18:41:21,975 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-25 18:41:21,976 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 18:41:22,010 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 18:41:22,964 ] News query failed: "Unrecognized event news."
[ 2022-09-25 22:17:10,416 ] Asset loading complete
[ 2022-09-25 22:17:14,800 ] News query failed: "Unrecognized event news."
[ 2022-09-25 22:17:18,408 ] BattlEye: "Initialized (v1.246)"
[ 2022-09-25 22:17:18,409 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-09-25 22:17:18,409 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-09-25 22:17:18,505 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Jugernaut" )
[ 2022-09-25 22:17:18,509 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 22:17:18,524 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 22:17:19,463 ] News query failed: "Unrecognized event news."
[ 2022-09-25 22:17:28,674 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-25 22:17:28,728 ] Disconnected from gameserver
[ 2022-09-25 22:17:29,027 ] News query failed: "Unrecognized event news."
[ 2022-09-25 22:17:31,797 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-25 22:17:31,799 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 22:17:31,811 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-25 22:17:32,721 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:23:41,749 ] Asset loading complete
[ 2022-09-26 03:24:35,870 ] News query failed: "Unrecognized event news."
[ 2022-09-26 03:24:38,986 ] BattlEye: "Initialized (v1.246)"
[ 2022-09-26 03:24:38,986 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-09-26 03:24:38,986 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-09-26 03:24:39,073 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:24:39,088 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:24:39,101 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:24:40,150 ] News query failed: "Unrecognized event news."
[ 2022-09-26 03:28:56,901 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-26 03:28:56,952 ] Disconnected from gameserver
[ 2022-09-26 03:29:01,024 ] News query failed: "Unrecognized event news."
[ 2022-09-26 03:29:01,718 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:29:01,722 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:02,644 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:29:05,801 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:06,801 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:10,851 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:10,855 ] Disconnected from gameserver
[ 2022-09-26 03:29:12,035 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:29:12,051 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:12,991 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:29:16,101 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:17,101 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:21,201 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:21,207 ] Disconnected from gameserver
[ 2022-09-26 03:29:22,482 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:29:22,483 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:23,400 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:29:26,551 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:27,552 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:31,601 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:31,607 ] Disconnected from gameserver
[ 2022-09-26 03:29:32,792 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:29:32,792 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:33,742 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:29:36,851 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:37,851 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:41,901 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:41,903 ] Disconnected from gameserver
[ 2022-09-26 03:29:44,163 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:29:44,200 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:45,113 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:29:48,301 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:49,301 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:53,401 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:29:53,404 ] Disconnected from gameserver
[ 2022-09-26 03:29:57,967 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:29:57,968 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:29:58,873 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:30:02,051 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 03:30:03,101 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:30:03,111 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:47:29,305 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-26 03:47:29,369 ] Disconnected from gameserver
[ 2022-09-26 03:48:27,761 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:48:28,619 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 03:48:28,622 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:48:28,634 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 03:48:29,581 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 03:51:40,750 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073836960 found"
[ 2022-09-26 04:01:17,357 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "The remote host closed the connection" )
[ 2022-09-26 04:01:17,468 ] Disconnected from gameserver
[ 2022-09-26 04:01:18,609 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 04:01:18,869 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 04:01:18,873 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 04:01:18,883 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 04:01:19,822 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-09-26 04:12:22,625 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073838470 found"
[ 2022-09-26 04:12:38,596 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073838532 found"
[ 2022-09-26 04:12:47,404 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073817818 found"
[ 2022-09-26 05:37:48,618 ] Asset loading complete
[ 2022-09-26 05:38:19,242 ] News query failed: "Unrecognized event news."
[ 2022-09-26 05:38:27,402 ] BattlEye: "Initialized (v1.246)"
[ 2022-09-26 05:38:27,402 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-09-26 05:38:27,402 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-09-26 05:38:27,484 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 05:38:27,501 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 05:38:29,493 ] News query failed: "Unrecognized event news."
[ 2022-09-26 05:38:31,624 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 05:38:32,625 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 05:38:36,723 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 05:38:36,728 ] Disconnected from gameserver
[ 2022-09-26 05:38:37,971 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "reiven" )
[ 2022-09-26 05:38:37,971 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 05:38:38,931 ] News query failed: "Unrecognized event news."
[ 2022-09-26 05:38:42,074 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"  was disconnected ( "Connection refused" )
[ 2022-09-26 05:38:43,122 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Mortera"
[ 2022-09-26 05:38:45,664 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Mortera"
